id,name,type,signature,osm_tag,blurb
foam_lad,The Lad of the Foam,Water,Presence,natural=beach,Has been about to go in for two hours.
slow_brown_god,The Slow Brown God,Water,Presence,waterway=river,Carries one shopping trolley everywhere it goes.
duckwater_nan,Duckwater Nan,Water,Presence,natural=water,Feeds bread to the ducks. The ducks have asked her to stop.
ankle_deep_alan,Ankle-Deep Alan,Water,Presence,natural=wetland,Knows exactly which tussock holds your weight. Won't say.
twig_snapper,The Thing That Snaps Twigs Deliberately,Forest,Insight,natural=wood,It is always the same distance behind you. It is being polite.
unmown_corner,Keeper of the Unmown Corner,Forest,Insight,leisure=park,Guards the one patch the council forgot. Fiercely.
six_fields,Six Fields of Nothing,Forest,Insight,landuse=farmland,"Grows a crop nobody ordered, on a schedule nobody set."
hat_taker,The Wind That Takes Your Hat,Forest,Insight,natural=peak,Waits for the summit photo. Times it perfectly.
aisle_seven,The Spirit of Aisle Seven,Occupations,Dread,shop=supermarket,Has been restocking the same shelf for eleven years. Nobody asked it to.
night_clerk,Night Clerk Eternal,Occupations,Dread,shop=convenience,The shift ended in 2009. It has not been informed.
second_opinion,Our Lady of the Second Opinion,Occupations,Dread,amenity=pharmacy,"Will read the label to you slowly, until you feel foolish."
wet_break_bell,The Wet-Break Bell,Occupations,Dread,amenity=school,Smells permanently of poster paint and disappointment.
four_am_proof,The Four A.M. Proof,Occupations,Dread,shop=bakery,Awake before everyone. Insufferable about it.
third_flat_white,The Third Flat White,Occupations,Dread,amenity=cafe,You did not need this one. It knew that when it arrived.
last_orders,Last Orders,Occupations,Dread,amenity=pub,Has one more anecdote. It is the same anecdote.
table_for_one,Table For One,Occupations,Dread,amenity=restaurant,Reads the menu twice to look busy. Everyone understands.
warm_drum,Warm Drum Wendy,Occupations,Dread,shop=laundry,The single most comforting entity in this catalog. No contest.
half_inch_off,Half An Inch Off,Occupations,Dread,shop=hairdresser,You said a little shorter. It heard something else.
level_three_bay,"Level Three, Bay Forty",Occupations,Dread,amenity=parking,Circulates a crisp packet endlessly. Has done for some time.
pump_four,Pump Four (Out Of Order),Occupations,Dread,amenity=fuel,The sign has been laminated. This is a permanent arrangement.
cone_lord,The Cone Lord,Occupations,Dread,landuse=construction,Coned off a stretch of road in March. No work has occurred.
aisle_of_screws,The Aisle Of Screws You Don't Need,Occupations,Dread,shop=doityourself,Sold you the wrong size with total confidence. Twice.
timetable_liar,"The Timetable, Lying",Occupations,Dread,highway=bus_stop,The bus is due. The bus has been due for some time.
platform_wind,Platform Wind,Occupations,Dread,railway=station,"Announces something crucial, inaudibly, at the worst moment."
corridor_hum,The Corridor Hum,Occupations,Dread,amenity=hospital,Has seen every kind of waiting there is.
gallery_fourteen,The Hush of Gallery Fourteen,Cultural,Anchor,tourism=museum,Stands closer to the painting than the rope allows. Nobody stops it.
overdue_shelf,The Overdue Shelf,Cultural,Anchor,amenity=library,Keeps a list. You are on it. It has never mentioned this.
under_the_span,Under The Span,Cultural,Anchor,bridge=yes,"Repeats your footsteps back at you, slightly wrong."
cold_pew,The Cold Of The Back Pew,Cultural,Anchor,amenity=place_of_worship,Does not mind that you only came in to look at the ceiling.
plot_forty,The Well-Tended Plot,Graveyard,Power,landuse=cemetery,Someone still comes on Sundays. It has noticed. It is grateful.
brook_insists,The Brook That Insists,Water,Presence,waterway=stream,Small. Loud. Convinced it is a river.
straight_water,Straight Water,Water,Presence,waterway=canal,Was dug. Has never entirely forgiven anyone for that.
first_cold_mouthful,The First Cold Mouthful,Water,Presence,natural=spring,Older than the town that grew around it. Unimpressed by the town.
rope_against_mast,Rope Against Mast,Water,Presence,leisure=marina,Clinks all night. Sleeps all day. Owns nothing.
end_of_the_boards,The End Of The Boards,Water,Presence,man_made=pier,"Everyone walks to the end, turns around, walks back. It counts."
everyones_change,Everyone's Loose Change,Water,Presence,amenity=fountain,Holds four thousand wishes. Has granted none. Keeps them anyway.
one_good_tree,The One Good Tree,Forest,Insight,natural=tree,The whole street is named after it. Nobody has ever told it so.
planted_rows,The Planted Rows,Forest,Insight,landuse=forest,Grew exactly where it was told. Resents the straight lines.
bed_that_was_weeded,The Bed That Was Weeded,Forest,Insight,leisure=garden,Someone knelt here for an hour. It remembers which hour.
waist_high,Waist-High And Full Of Insects,Forest,Insight,landuse=meadow,Looks soft from the gate. Is not soft.
shed_eleven,Shed Number Eleven,Forest,Insight,landuse=allotments,"Contains one chair, one radio, and forty years."
cold_that_comes_out,The Cold That Comes Out,Forest,Insight,natural=cave_entrance,Breathes out in summer and in during winter. Nobody enjoys this.
ice_machine,The Ice Machine Is Broken,Occupations,Dread,amenity=fast_food,It is broken. It has always been broken. It will be broken.
queue_one_teller,The Queue For One Teller,Occupations,Dread,amenity=bank,Four windows. One open. This is not an accident.
form_filled_wrong,The Form You Filled In Wrong,Occupations,Dread,amenity=post_office,Section 4b. It knew at the time. It let you finish.
